"Obergünzburg","Obergunzburg","47.8500","10.4167","Germany","DE","DEU","Bavaria","","6362","1276463357"
"Podbořany","Podborany","50.2295","13.4120","Czechia","CZ","CZE","Ústecký Kraj","","6392","1203340150"
"Moerbeke","Moerbeke","51.1733","3.9422","Belgium","BE","BEL","Flanders","","6455","1056610428"
"Labico","Labico","41.7833","12.8833","Italy","IT","ITA","Lazio","","6469","1380216369"
"Williamston","Williamston","42.6835","-84.2836","United States","US","USA","Michigan","","6498","1840000420"
"Homeacre-Lyndora","Homeacre-Lyndora","40.8721","-79.9211","United States","US","USA","Pennsylvania","","6498","1840073691"
"Ōishida","Oishida","38.5939","140.3728","Japan","JP","JPN","Yamagata","","6417","1392447005"
"Brannenburg","Brannenburg","47.7333","12.1000","Germany","DE","DEU","Bavaria","","6310","1276102650"
"Doutor Severiano","Doutor Severiano","-6.0939","-38.3750","Brazil","BR","BRA","Rio Grande do Norte","","6492","1076818320"
"Bakum","Bakum","52.7428","8.1958","Germany","DE","DEU","Lower Saxony","","6415","1276988891"
"Pratt","Pratt","37.6764","-98.7451","United States","US","USA","Kansas","","6496","1840001687"
"Basehor","Basehor","39.1332","-94.9333","United States","US","USA","Kansas","","6496","1840007373"
"Kondor","Kondor","35.2119","58.1517","Iran","IR","IRN","Khorāsān-e Raẕavī","","6460","1364845649"
"Dudenhofen","Dudenhofen","49.3178","8.3906","Germany","DE","DEU","Rhineland-Palatinate","","6030","1276358470"
"Geneseo","Geneseo","41.4508","-90.1540","United States","US","USA","Illinois","","6495","1840008205"
"Benfeld","Benfeld","48.3706","7.5922","France","FR","FRA","Grand Est","","5756","1250410247"
"Millingen aan de Rijn","Millingen aan de Rijn","51.8667","6.0500","Netherlands","NL","NLD","Gelderland","minor","5921","1528265351"
"Severance","Severance","40.5270","-104.8642","United States","US","USA","Colorado","","6494","1840022400"
"Ocean Shores","Ocean Shores","46.9685","-124.1521","United States","US","USA","Washington","","6494","1840019849"
"San Michele Salentino","San Michele Salentino","40.6333","17.6333","Italy","IT","ITA","Puglia","","6258","1380878000"
"Gójar","Gojar","37.1000","-3.6000","Spain","ES","ESP","Andalusia","","5993","1724939365"
"Sciez","Sciez","46.3319","6.3739","France","FR","FRA","Auvergne-Rhône-Alpes","","6190","1250962715"
"La Habra Heights","La Habra Heights","33.9602","-117.9510","United States","US","USA","California","","6492","1840020511"
"Baloteşti","Balotesti","44.6128","26.0787","Romania","RO","ROU","Ilfov","","6286","1642533884"
"Gangkofen","Gangkofen","48.4369","12.5633","Germany","DE","DEU","Bavaria","","6432","1276801193"
"San Ramón","San Ramon","-13.2672","-64.6172","Bolivia","BO","BOL","El Beni","","6490","1068370064"
"Rāmakuppam","Ramakuppam","12.9003","78.4867","India","IN","IND","Andhra Pradesh","","6291","1356087499"
"Caneva","Caneva","45.9667","12.4500","Italy","IT","ITA","Friuli-Venezia Giulia","","6339","1380920699"
"East Rochester","East Rochester","43.1120","-77.4869","United States","US","USA","New York","","6490","1840004289"
"Cournonterral","Cournonterral","43.5578","3.7189","France","FR","FRA","Occitanie","","6270","1250104175"
"Mulvane","Mulvane","37.4788","-97.2724","United States","US","USA","Kansas","","6489","1840008748"
"Beerfelden","Beerfelden","49.5676","8.9738","Germany","DE","DEU","Hesse","","6399","1276859508"
"Camilla","Camilla","31.2337","-84.2089","United States","US","USA","Georgia","","6488","1840013877"
"Lynchburg","Lynchburg","35.2846","-86.3587","United States","US","USA","Tennessee","","6488","1840036144"
"Kottakki","Kottakki","18.5149","83.2353","India","IN","IND","Andhra Pradesh","","6079","1356133571"
"Hillandale","Hillandale","39.0254","-76.9751","United States","US","USA","Maryland","","6487","1840005841"
"Yar-Sale","Yar-Sale","66.8653","70.8378","Russia","RU","RUS","Yamalo-Nenetskiy Avtonomnyy Okrug","","6486","1643799092"
"Žarnovica","Zarnovica","48.4833","18.7167","Slovakia","SK","SVK","Banskobystrický","minor","6284","1703234084"
"Grayvoron","Grayvoron","50.4833","35.6667","Russia","RU","RUS","Belgorodskaya Oblast’","minor","6449","1643809154"
"Schwarzenfeld","Schwarzenfeld","49.3833","12.1333","Germany","DE","DEU","Bavaria","","6321","1276125310"
"Lassance","Lassance","-17.8869","-44.5778","Brazil","BR","BRA","Minas Gerais","","6484","1076877406"
"Taksony","Taksony","47.3319","19.0631","Hungary","HU","HUN","Pest","","6189","1348073002"
"Iraí de Minas","Irai de Minas","-18.9839","-47.4608","Brazil","BR","BRA","Minas Gerais","","6467","1076188584"
"Weiler-Simmerberg","Weiler-Simmerberg","47.5833","9.9333","Germany","DE","DEU","Bavaria","","6284","1276873392"
"Medolla","Medolla","44.8488","11.0714","Italy","IT","ITA","Emilia-Romagna","","6253","1380994707"
"Lincoln","Lincoln","-43.6400","172.4860","New Zealand","NZ","NZL","Canterbury","","6030","1554645119"
"Iacri","Iacri","-21.8583","-50.6894","Brazil","BR","BRA","São Paulo","","6481","1076477503"
"Stratmoor","Stratmoor","38.7732","-104.7787","United States","US","USA","Colorado","","6484","1840028582"
"Saint-Jean-de-Boiseau","Saint-Jean-de-Boiseau","47.1942","-1.7247","France","FR","FRA","Pays de la Loire","","5961","1250451472"
"Jonage","Jonage","45.7964","5.0467","France","FR","FRA","Auvergne-Rhône-Alpes","","5989","1250191148"
"Granville","Granville","43.4188","-73.3086","United States","US","USA","New York","","6483","1840004176"
"Bon-Encontre","Bon-Encontre","44.1864","0.6719","France","FR","FRA","Nouvelle-Aquitaine","","6182","1250724485"
"Sernaglia della Battaglia","Sernaglia della Battaglia","45.8833","12.1333","Italy","IT","ITA","Veneto","","6176","1380651005"
"São Martinho","Sao Martinho","38.8125","-9.4208","Portugal","PT","PRT","Lisboa","","6226","1620177495"
"Mestigmer","Mestigmer","34.4868","-2.6883","Morocco","MA","MAR","Oriental","","6469","1504091649"
"Pimonte","Pimonte","40.6736","14.5125","Italy","IT","ITA","Campania","","6003","1380783654"
"Brejo dos Santos","Brejo dos Santos","-6.3769","-37.8250","Brazil","BR","BRA","Paraíba","","6413","1076278990"
"Almenara","Almenara","39.7533","-0.2256","Spain","ES","ESP","Valencia","","6254","1724587561"
"Arès","Ares","44.7650","-1.1367","France","FR","FRA","Nouvelle-Aquitaine","","6349","1250247212"
"Asiago","Asiago","45.8667","11.5167","Italy","IT","ITA","Veneto","","6441","1380181149"
"Juti","Juti","-22.8608","-54.6028","Brazil","BR","BRA","Mato Grosso do Sul","","6476","1076535408"
"Pont-Saint-Martin","Pont-Saint-Martin","47.1236","-1.5844","France","FR","FRA","Pays de la Loire","","6196","1250250853"
"Drabiv","Drabiv","49.9603","32.1481","Ukraine","UA","UKR","Cherkas’ka Oblast’","","6450","1804509195"
"Buena Vista","Buena Vista","37.7319","-79.3569","United States","US","USA","Virginia","","6478","1840003851"
"Duanesburg","Duanesburg","42.7799","-74.1805","United States","US","USA","New York","","6477","1840058053"
"Prairie du Chien","Prairie du Chien","43.0429","-91.1373","United States","US","USA","Wisconsin","","6477","1840002890"
"Sarriá de Ter","Sarria de Ter","42.0181","2.8261","Spain","ES","ESP","Catalonia","","5231","1724051765"
"Winterlingen","Winterlingen","48.1797","9.1153","Germany","DE","DEU","Baden-Württemberg","","6351","1276357023"
"Drayton","Drayton","52.6750","1.2250","United Kingdom","GB","GBR","Norfolk","","5489","1826056613"
"Karasburg","Karasburg","-28.0172","18.7478","Namibia","NA","NAM","//Karas","","6054","1516005938"
"Silver Lake","Silver Lake","34.1408","-77.9090","United States","US","USA","North Carolina","","6476","1840032901"
"Shalya","Shalya","57.2408","58.7344","Russia","RU","RUS","Sverdlovskaya Oblast’","","6471","1643707530"
"Ida Ou Gaïlal","Ida Ou Gailal","30.6383","-8.6327","Morocco","MA","MAR","Souss-Massa","","6436","1504833477"
"Palmwoods","Palmwoods","-26.6883","152.9597","Australia","AU","AUS","Queensland","","5676","1036016511"
"Bom Jardim de Minas","Bom Jardim de Minas","-21.9469","-44.1908","Brazil","BR","BRA","Minas Gerais","","6459","1076552710"
"Laage","Laage","53.9322","12.3467","Germany","DE","DEU","Mecklenburg-Western Pomerania","","6396","1276149730"
"Laranjal","Laranjal","-21.3739","-42.4769","Brazil","BR","BRA","Minas Gerais","","6465","1076950917"
"Urnieta","Urnieta","43.2469","-1.9917","Spain","ES","ESP","Basque Country","","6197","1724616317"
"Bua Chet","Bua Chet","14.5326","103.9301","Thailand","TH","THA","Surin","minor","6418","1764510334"
"Monzuno","Monzuno","44.2833","11.2667","Italy","IT","ITA","Emilia-Romagna","","6375","1380257559"
"Irvington","Irvington","41.0349","-73.8661","United States","US","USA","New York","","6473","1840004933"
"Prestonsburg","Prestonsburg","37.6816","-82.7662","United States","US","USA","Kentucky","","6473","1840014346"
"Uetendorf","Uetendorf","46.7664","7.5667","Switzerland","CH","CHE","Bern","","5892","1756617352"
"Susa","Susa","45.1333","7.0500","Italy","IT","ITA","Piedmont","","6340","1380067772"
"Nandīgrām","Nandigram","22.0100","87.9900","India","IN","IND","West Bengal","","5803","1356830613"
"Hamilton","Hamilton","42.7897","-75.4940","United States","US","USA","New York","","6472","1840004354"
"Rosenfeld","Rosenfeld","48.2864","8.7242","Germany","DE","DEU","Baden-Württemberg","","6347","1276473331"
"Nagyecsed","Nagyecsed","47.8619","22.3867","Hungary","HU","HUN","Szabolcs-Szatmár-Bereg","","6327","1348321559"
"Harvi","Harvi","16.0628","77.0642","India","IN","IND","Karnātaka","","6252","1356818458"
"Selvíria","Selviria","-20.3669","-51.4189","Brazil","BR","BRA","Mato Grosso do Sul","","6469","1076001460"
"Zusmarshausen","Zusmarshausen","48.3833","10.5833","Germany","DE","DEU","Bavaria","","6378","1276449665"
"Neumarkt am Wallersee","Neumarkt am Wallersee","47.9453","13.2247","Austria","AT","AUT","Salzburg","","6297","1040373485"
"Lentilly","Lentilly","45.8186","4.6631","France","FR","FRA","Auvergne-Rhône-Alpes","","6137","1250485428"
"Dalaba","Dalaba","10.6560","-12.2720","Guinea","GN","GIN","Mamou","minor","6349","1324455027"
"Sidley","Sidley","50.8600","0.4700","United Kingdom","GB","GBR","East Sussex","","5718","1826517116"
"Fockbek","Fockbek","54.3050","9.6008","Germany","DE","DEU","Schleswig-Holstein","","6236","1276083789"
"Marsillargues","Marsillargues","43.6644","4.1769","France","FR","FRA","Occitanie","","6322","1250484264"
"Moraine","Moraine","39.6983","-84.2459","United States","US","USA","Ohio","","6470","1840003784"
"Atengo","Atengo","20.2167","-104.0833","Mexico","MX","MEX","Jalisco","minor","5475","1484101476"
"Leongatha","Leongatha","-38.4833","145.9500","Australia","AU","AUS","Victoria","","5654","1036910660"
"Wiset Chaichan","Wiset Chaichan","14.5890","100.3482","Thailand","TH","THA","Ang Thong","minor","6220","1764259982"
"Penn Yan","Penn Yan","42.6608","-77.0536","United States","US","USA","New York","","6469","1840004503"
"Scenic Oaks","Scenic Oaks","29.7038","-98.6713","United States","US","USA","Texas","","6469","1840019650"
"Braives","Braives","50.6333","5.1500","Belgium","BE","BEL","Wallonia","","6325","1056017100"
"Columbia","Columbia","31.2564","-89.8266","United States","US","USA","Mississippi","","6468","1840014970"
"Villanuova sul clisi","Villanuova sul clisi","45.6000","10.4500","Italy","IT","ITA","Lombardy","","5827","1380977092"
"Arenas de San Pedro","Arenas de San Pedro","40.2089","-5.0911","Spain","ES","ESP","Castille-Leon","","6434","1724155453"
"Seloncourt","Seloncourt","47.4606","6.8583","France","FR","FRA","Bourgogne-Franche-Comté","","5742","1250131027"
"Genoa","Genoa","42.0926","-88.6964","United States","US","USA","Illinois","","6467","1840008133"
"Otis Orchards-East Farms","Otis Orchards-East Farms","47.7030","-117.0854","United States","US","USA","Washington","","6466","1840037126"
"Sidney","Sidney","47.7152","-104.1680","United States","US","USA","Montana","","6466","1840021085"
"Fagagna","Fagagna","46.1167","13.0833","Italy","IT","ITA","Friuli-Venezia Giulia","","6296","1380635920"
"Boischatel","Boischatel","46.9000","-71.1500","Canada","CA","CAN","Quebec","","6465","1124332563"
"Loutolim","Loutolim","15.3300","73.9800","India","IN","IND","Goa","","6121","1356023315"
"Baykalovo","Baykalovo","57.3969","63.7672","Russia","RU","RUS","Sverdlovskaya Oblast’","","6457","1643108860"
"Bauvin","Bauvin","50.5142","2.8981","France","FR","FRA","Hauts-de-France","","5131","1250231394"
"Lagoa de São Francisco","Lagoa de Sao Francisco","-4.3919","-41.6008","Brazil","BR","BRA","Piauí","","6422","1076258146"
"Ras Tabouda","Ras Tabouda","34.0000","-4.7167","Morocco","MA","MAR","Fès-Meknès","","6388","1504984895"
"South Grafton","South Grafton","-29.7150","152.9344","Australia","AU","AUS","New South Wales","","6068","1036377966"
"Kölleda","Kolleda","51.1667","11.2167","Germany","DE","DEU","Thuringia","","6391","1276377154"
"Loches","Loches","47.1286","0.9953","France","FR","FRA","Centre-Val de Loire","minor","6232","1250240036"
"Berdigestyakh","Berdigestyakh","62.0958","126.7019","Russia","RU","RUS","Sakha (Yakutiya)","","6462","1643012730"
"Darnestown","Darnestown","39.0960","-77.3033","United States","US","USA","Maryland","","6462","1840005833"
"Point Vernon","Point Vernon","-25.2538","152.8177","Australia","AU","AUS","Queensland","","5699","1036205903"
"Kūderu","Kuderu","14.7333","77.4333","India","IN","IND","Andhra Pradesh","","6315","1356759090"
"Collins","Collins","42.4908","-78.8623","United States","US","USA","New York","","6461","1840058004"
"Hebron","Hebron","39.0626","-84.7090","United States","US","USA","Kentucky","","6461","1840026680"
"Essingen","Essingen","48.8083","10.0278","Germany","DE","DEU","Baden-Württemberg","","6352","1276069177"
"Glendive","Glendive","47.1102","-104.7069","United States","US","USA","Montana","","6460","1840019824"
"Nikhom Kham Soi","Nikhom Kham Soi","16.3749","104.5551","Thailand","TH","THA","Mukdahan","minor","6334","1764000124"
"Cabeceira Grande","Cabeceira Grande","-16.0300","-47.0908","Brazil","BR","BRA","Minas Gerais","","6453","1076378907"
"Épernon","Epernon","48.6108","1.6742","France","FR","FRA","Centre-Val de Loire","","5592","1250233756"
"Yorketown","Yorketown","40.3064","-74.3385","United States","US","USA","New Jersey","","6459","1840033488"
"Borrazópolis","Borrazopolis","-23.9408","-51.5878","Brazil","BR","BRA","Paraná","","6439","1076603881"
"Bizhbulyak","Bizhbulyak","53.6911","54.2722","Russia","RU","RUS","Bashkortostan","","6446","1643743599"
"Barra do Rocha","Barra do Rocha","-14.2108","-39.6019","Brazil","BR","BRA","Bahia","","6424","1076424861"
"Umkirch","Umkirch","48.0328","7.7636","Germany","DE","DEU","Baden-Württemberg","","5793","1276779548"
"Ingeniero Guillermo N. Juárez","Ingeniero Guillermo N. Juarez","-23.9000","-61.8500","Argentina","AR","ARG","Formosa","minor","6453","1032585569"
"Oficina María Elena","Oficina Maria Elena","-22.3500","-69.6667","Chile","CL","CHL","Antofagasta","","6457","1152876089"
"Kalavalapalle","Kalavalapalle","16.9300","81.6300","India","IN","IND","Andhra Pradesh","","5984","1356332752"
"Nufringen","Nufringen","48.6222","8.8875","Germany","DE","DEU","Baden-Württemberg","","5872","1276978706"
"Arquata Scrivia","Arquata Scrivia","44.6925","8.8817","Italy","IT","ITA","Piedmont","","6397","1380859302"
"Lake Murray of Richland","Lake Murray of Richland","34.1209","-81.2653","United States","US","USA","South Carolina","","6455","1840073861"
"Subbiano","Subbiano","43.5800","11.8722","Italy","IT","ITA","Tuscany","","6373","1380114692"
"Pont-Sainte-Marie","Pont-Sainte-Marie","48.3206","4.1014","France","FR","FRA","Grand Est","","5161","1250112462"
"Commentry","Commentry","46.2889","2.7417","France","FR","FRA","Auvergne-Rhône-Alpes","","6159","1250564623"
"Naşīb","Nasib","32.5517","36.1881","Syria","SY","SYR","Dar‘ā","","5780","1760446174"
"Belgioioso","Belgioioso","45.1667","9.3167","Italy","IT","ITA","Lombardy","","6201","1380731634"
"Lübz","Lubz","53.4631","12.0283","Germany","DE","DEU","Mecklenburg-Western Pomerania","","6342","1276808728"
"Klingenberg am Main","Klingenberg am Main","49.7833","9.1833","Germany","DE","DEU","Bavaria","","6160","1276868883"
"Marolles-en-Hurepoix","Marolles-en-Hurepoix","48.5625","2.2983","France","FR","FRA","Île-de-France","","5588","1250704809"
"Porto Cesareo","Porto Cesareo","40.2667","17.9000","Italy","IT","ITA","Puglia","","6272","1380165414"
"Saïdat","Saidat","31.3442","-8.7053","Morocco","MA","MAR","Marrakech-Safi","","6427","1504422159"
"Girvan","Girvan","55.2382","-4.8561","United Kingdom","GB","GBR","South Ayrshire","","6450","1826366203"
"São José do Jacuri","Sao Jose do Jacuri","-18.2750","-42.6700","Brazil","BR","BRA","Minas Gerais","","6431","1076270907"
"Ironwood","Ironwood","46.4522","-90.1505","United States","US","USA","Michigan","","6448","1840001942"
"Macambira","Macambira","-10.6658","-37.5408","Brazil","BR","BRA","Sergipe","","6401","1076545763"
"Burghaun","Burghaun","50.7000","9.7167","Germany","DE","DEU","Hesse","","6350","1276460725"
"Lanchkhuti","Lanchkhuti","42.0875","42.0333","Georgia","GE","GEO","Guria","minor","6395","1268008920"
"Halych","Halych","49.1128","24.7217","Ukraine","UA","UKR","Ivano-Frankivs’ka Oblast’","minor","6196","1804076203"
"Bréal-sous-Montfort","Breal-sous-Montfort","48.0478","-1.8667","France","FR","FRA","Bretagne","","6262","1250739296"
"Collepasso","Collepasso","40.0667","18.1667","Italy","IT","ITA","Puglia","","5979","1380337394"
"Trochtelfingen","Trochtelfingen","48.3081","9.2444","Germany","DE","DEU","Baden-Württemberg","","6366","1276845905"
"Sealy","Sealy","29.7676","-96.1679","United States","US","USA","Texas","","6446","1840022209"
"Falkenberg","Falkenberg","51.5831","13.2322","Germany","DE","DEU","Brandenburg","","6368","1276839320"
"Pedrezuela","Pedrezuela","40.7500","-3.6167","Spain","ES","ESP","Madrid","","6226","1724552568"
"Deta","Deta","45.4000","21.2200","Romania","RO","ROU","Timiş","","6260","1642851742"
"Tancherfi","Tancherfi","34.3539","-2.6255","Morocco","MA","MAR","Oriental","","6433","1504259031"
"Strambino","Strambino","45.3833","7.8833","Italy","IT","ITA","Piedmont","","6170","1380340424"
"Saint-Just-en-Chaussée","Saint-Just-en-Chaussee","49.5061","2.4308","France","FR","FRA","Hauts-de-France","","6033","1250263559"
"San Marcello Pistoiese","San Marcello Pistoiese","44.0556","10.7908","Italy","IT","ITA","Tuscany","","6370","1380306845"
"Beelen","Beelen","51.9292","8.1181","Germany","DE","DEU","North Rhine-Westphalia","","6245","1276690237"
"La Grand-Croix","La Grand-Croix","45.5031","4.5689","France","FR","FRA","Auvergne-Rhône-Alpes","","5168","1250778068"
"Emporia","Emporia","36.6953","-77.5356","United States","US","USA","Virginia","","6443","1840003875"
"Bekkevoort","Bekkevoort","50.9500","4.9667","Belgium","BE","BEL","Flanders","","6274","1056646543"
"Dmitriyev-L’govskiy","Dmitriyev-L'govskiy","52.1289","35.0756","Russia","RU","RUS","Kurskaya Oblast’","","6430","1643791004"
"Guananico","Guananico","19.7200","-70.9200","Dominican Republic","DO","DOM","Cibao Norte","","6333","1214844338"
"Carrollton","Carrollton","36.9394","-76.5264","United States","US","USA","Virginia","","6442","1840024808"
"Wervicq-Sud","Wervicq-Sud","50.7722","3.0478","France","FR","FRA","Hauts-de-France","","5384","1250773155"
"Quintana","Quintana","-22.0725","-50.3075","Brazil","BR","BRA","São Paulo","","6437","1076808651"
"Ligonier","Ligonier","40.2348","-79.2137","United States","US","USA","Pennsylvania","","6441","1840001143"
"Inverness Highlands South","Inverness Highlands South","28.8007","-82.3371","United States","US","USA","Florida","","6441","1840073844"
"East Falmouth","East Falmouth","41.5707","-70.5556","United States","US","USA","Massachusetts","","6441","1840003237"
"Tafraout","Tafraout","29.7167","-8.9667","Morocco","MA","MAR","Souss-Massa","","6345","1504092671"
"Beilstein","Beilstein","49.0333","9.3167","Germany","DE","DEU","Baden-Württemberg","","6195","1276654199"
"Upper Sandusky","Upper Sandusky","40.8298","-83.2721","United States","US","USA","Ohio","","6440","1840010346"
"Mer","Mer","47.6986","1.5078","France","FR","FRA","Centre-Val de Loire","","6205","1250199987"
"Gammertingen","Gammertingen","48.2494","9.2175","Germany","DE","DEU","Baden-Württemberg","","6320","1276612304"
"Burkhardtsdorf","Burkhardtsdorf","50.7347","12.9219","Germany","DE","DEU","Saxony","","6149","1276136596"
"Vine Grove","Vine Grove","37.8133","-85.9828","United States","US","USA","Kentucky","","6439","1840015218"
"Portel","Portel","38.3000","-7.7000","Portugal","PT","PRT","Évora","minor","6428","1620000002"
"Sallapadan","Sallapadan","17.4551","120.7599","Philippines","PH","PHL","Abra","","6389","1608273237"
"Wrestedt","Wrestedt","52.9000","10.5833","Germany","DE","DEU","Lower Saxony","","6393","1276645970"
"Kununurra","Kununurra","-15.7736","128.7386","Australia","AU","AUS","Western Australia","","5308","1036556231"
"Meersburg","Meersburg","47.6958","9.2708","Germany","DE","DEU","Baden-Württemberg","","5944","1276526391"
"Martfů","Martfu","47.0170","20.2840","Hungary","HU","HUN","Jász-Nagykun-Szolnok","","6169","1348824135"
"Litchfield Park","Litchfield Park","33.5024","-112.3586","United States","US","USA","Arizona","","6436","1840020565"
"Devine","Devine","29.1457","-98.9049","United States","US","USA","Texas","","6436","1840019657"
"Itá","Ita","-27.2908","-52.3228","Brazil","BR","BRA","Santa Catarina","","6426","1076523107"
"Dunningen","Dunningen","48.2114","8.5072","Germany","DE","DEU","Baden-Württemberg","","6305","1276233518"
"Guichón","Guichon","-32.3500","-57.2000","Uruguay","UY","URY","Paysandú","","5039","1858589907"
"Malesherbes","Malesherbes","48.2964","2.4053","France","FR","FRA","Centre-Val de Loire","","6089","1250785126"
"Kondramutla","Kondramutla","16.1167","79.7500","India","IN","IND","Andhra Pradesh","","6215","1356984109"
"Orange Lake","Orange Lake","41.5319","-74.0936","United States","US","USA","New York","","6434","1840004859"
"Mornant","Mornant","45.6189","4.6722","France","FR","FRA","Auvergne-Rhône-Alpes","","6050","1250488655"
"Rumelange","Rumelange","49.4597","6.0306","Luxembourg","LU","LUX","Esch-sur-Alzette","minor","5613","1442912029"
"Bajargaon","Bajargaon","25.8932","87.9989","India","IN","IND","West Bengal","","5296","1356190074"
"Si Prachan","Si Prachan","14.6204","100.1444","Thailand","TH","THA","Suphan Buri","minor","6185","1764855958"
"Gersheim","Gersheim","49.1333","7.2000","Germany","DE","DEU","Saarland","","6323","1276034939"
"Cambiano","Cambiano","44.9711","7.7744","Italy","IT","ITA","Piedmont","","6008","1380882262"
"Hjo","Hjo","58.3044","14.2786","Sweden","SE","SWE","Västra Götaland","minor","6357","1752355806"
"Oelwein","Oelwein","42.6715","-91.9133","United States","US","USA","Iowa","","6433","1840008007"
"Zouar","Zouar","20.4500","16.5167","Chad","TD","TCD","Tibesti","","6432","1148690803"
"Tervel","Tervel","43.7486","27.4065","Bulgaria","BG","BGR","Dobrich","minor","6404","1100435548"
"Abbadia San Salvatore","Abbadia San Salvatore","42.8831","11.6706","Italy","IT","ITA","Tuscany","","6325","1380713134"
"Tiyghmi","Tiyghmi","29.5875","-9.4063","Morocco","MA","MAR","Souss-Massa","","6396","1504493418"
"Carthage","Carthage","32.1526","-94.3368","United States","US","USA","Texas","","6431","1840019497"
"Crystal Lake","Crystal Lake","28.0371","-81.9063","United States","US","USA","Florida","","6431","1840029030"
"Beni Sidal Louta","Beni Sidal Louta","35.1069","-3.0656","Morocco","MA","MAR","Oriental","","6283","1504185790"
"Großbreitenbach","Grossbreitenbach","50.5833","11.0120","Germany","DE","DEU","Thuringia","","6352","1276992782"
"Hurricane","Hurricane","38.4293","-82.0168","United States","US","USA","West Virginia","","6430","1840006180"
"Machecoul","Machecoul","46.9931","-1.8228","France","FR","FRA","Pays de la Loire","","6334","1250858072"
"Corinth","Corinth","43.2269","-73.8847","United States","US","USA","New York","","6429","1840004255"
"North Riverside","North Riverside","41.8461","-87.8263","United States","US","USA","Illinois","","6429","1840011303"
"Le Blanc","Le Blanc","46.6336","1.0628","France","FR","FRA","Centre-Val de Loire","minor","6319","1250782033"
"Cheverly","Cheverly","38.9254","-76.9140","United States","US","USA","Maryland","","6428","1840005984"
"Savage","Savage","39.1485","-76.8228","United States","US","USA","Maryland","","6428","1840026664"
"Tiros","Tiros","-19.0039","-45.9639","Brazil","BR","BRA","Minas Gerais","","6424","1076940743"
"Vidigulfo","Vidigulfo","45.3000","9.2333","Italy","IT","ITA","Lombardy","","6422","1380819708"
"Aussillon","Aussillon","43.4983","2.3650","France","FR","FRA","Occitanie","","5856","1250208302"
"Pūsapātirega","Pusapatirega","18.0920","83.5523","India","IN","IND","Andhra Pradesh","","5683","1356133876"
"Kyalanūr","Kyalanur","13.2667","77.9833","India","IN","IND","Karnātaka","","5928","1356065218"
"Sengiley","Sengiley","53.9667","48.8000","Russia","RU","RUS","Ul’yanovskaya Oblast’","","6405","1643154611"
"Hüttlingen","Huttlingen","48.8928","10.1006","Germany","DE","DEU","Baden-Württemberg","","6099","1276241784"
"Bridgeport","Bridgeport","43.3706","-83.8828","United States","US","USA","Michigan","","6425","1840004227"
"Kostelec nad Orlicí","Kostelec nad Orlici","50.1227","16.2133","Czechia","CZ","CZE","Královéhradecký Kraj","","6188","1203285144"
"Valley City","Valley City","46.9223","-98.0055","United States","US","USA","North Dakota","","6423","1840000160"
"Cairo","Cairo","42.2965","-74.0205","United States","US","USA","New York","","6423","1840057626"
"Salem","Salem","38.6048","-86.0977","United States","US","USA","Indiana","","6422","1840009790"
"Douglas","Douglas","42.7541","-105.3968","United States","US","USA","Wyoming","","6421","1840018655"
"Attota","Attota","16.2910","80.6816","India","IN","IND","Andhra Pradesh","","5628","1356022256"
"Melut","Melut","10.4400","32.2000","South Sudan","SS","SSD","Upper Nile","","6407","1728493346"
"Bisor","Bisor","24.3846","87.9670","India","IN","IND","West Bengal","","5181","1356109971"
"Greenville","Greenville","38.8866","-89.3893","United States","US","USA","Illinois","","6417","1840008563"
"Pegau","Pegau","51.1667","12.2500","Germany","DE","DEU","Saxony","","6288","1276912473"
"Kittilä","Kittila","67.6531","24.9114","Finland","FI","FIN","Lappi","minor","6416","1246795721"
"Santes","Santes","50.5933","2.9622","France","FR","FRA","Hauts-de-France","","5668","1250040502"
"Gogolin","Gogolin","50.4881","18.0239","Poland","PL","POL","Opolskie","","6116","1616622963"
"Orlovista","Orlovista","28.5441","-81.4629","United States","US","USA","Florida","","6416","1840014096"
"Luislândia","Luislandia","-16.1178","-44.5889","Brazil","BR","BRA","Minas Gerais","","6400","1076716911"
"Eudora","Eudora","38.9345","-95.0957","United States","US","USA","Kansas","","6415","1840008558"
"Walkersville","Walkersville","39.4832","-77.3559","United States","US","USA","Maryland","","6415","1840005717"
"Bischberg","Bischberg","49.9000","10.8167","Germany","DE","DEU","Bavaria","","6068","1276674538"
"Garrett","Garrett","41.3526","-85.1238","United States","US","USA","Indiana","","6413","1840008207"
"Zimmern ob Rottweil","Zimmern ob Rottweil","48.1681","8.5911","Germany","DE","DEU","Baden-Württemberg","","6228","1276724149"
"Bowleys Quarters","Bowleys Quarters","39.3198","-76.3858","United States","US","USA","Maryland","","6412","1840005677"
"Recoaro Terme","Recoaro Terme","45.7000","11.2333","Italy","IT","ITA","Veneto","","6306","1380727823"
"Higashikyōshin","Higashikyoshin","31.3858","130.9733","Japan","JP","JPN","Kagoshima","","6188","1392608481"
"San Canzian d’lsonzo","San Canzian d'lsonzo","45.8000","13.4667","Italy","IT","ITA","Friuli-Venezia Giulia","","6227","1380298920"
"Horgoš","Horgos","46.1556","19.9725","Serbia","RS","SRB","Severno Banatski Okrug","","6325","1688035977"
"Albania","Albania","1.3289","-75.8783","Colombia","CO","COL","Caquetá","minor","6394","1170417571"
"Littlestown","Littlestown","39.7452","-77.0892","United States","US","USA","Pennsylvania","","6409","1840000684"
